object_name,twenty_type,purpose,key_fields
Person,built_in,Homeowner partner contact or adviser,"role, phones, emails, consent_status, preferred_contact, do_not_contact"
Company,built_in,Contractor partner or prospect,"trade, status, territory, license, insurance, billing, SLA, score"
PartnerDeal,custom,B2B sales pipeline,"stage, proposed_plan, price, trial_dates, decision_maker, next_action"
ServiceRequest,custom,Consumer request,"source, service, property, urgency, qualification_tier, status, owner"
Property,custom,Service location,"address, zip, occupancy_authority, prior_request_ids, minimization_notes"
ConsentEvent,custom,Proof of communication and data-sharing consent,"channel, language_version, timestamp, ip_or_call_id, scope, revocation"
RoutingAttempt,custom,Each partner routing event,"partner, sent_time, acceptance, sla_timers, failure_reason"
Appointment,custom,Requested or confirmed service appointment,"windows, confirmed_time, status, partner"
Communication,custom,Call SMS email metadata,"direction, provider_id, template, delivery, transcript_link, recording_disclosure"
JobOutcome,custom,Partner-reported result,"contacted, inspected, quoted, won_lost, value_band, reason, confidence"
PartnerTerritory,custom,Exclusive rights and capacity,"trade, geography, start_end, priority, capacity, overflow"
ComplianceDocument,custom,Licenses and insurance,"type, number, issuer, effective_expiry, verification_source"
InvoiceCredit,custom,Commercial operations,"billing_period, amount, status, dispute, credit_reason"
ContentAsset,custom,Website and social content,"url, target_intent, evidence_sources, review_status, performance"
SEOExperiment,custom,Measured SEO change,"hypothesis, page, change, start_end, guardrail, result, confidence"
Incident,custom,Compliance consumer security or partner issue,"severity, owner, containment, root_cause, remediation"
